"car_travel_time","bike_travel_time","walk_travel_time","transit_travel_time","transit_headway","choice","av1","av2","av3","av4","numstops","triptime","waitime","cumdist","totalbikes","totalvehs","male","female","nocarlicence","greenlicence","fulllicence","trippurp1","trippurp2","trippurp3","trippurp4","trippurp5","trippurp6","trippurp7","trippurp8"
"24","47","163","76","36.66666667",4,1,1,1,1,"4","20","0","13.62","0","2",1,0,1,0,0,1,0,0,0,0,0,0,0
"7","11","38","25","40",4,1,1,1,1,"4","5","0","3.93","0","2",1,0,1,0,0,1,0,0,0,0,0,0,0
"6","12","39","33","40",4,1,1,1,1,"4","5","0","3.93","0","2",1,0,1,0,0,1,0,0,0,0,0,0,0
"8","18","51","31","15",4,1,1,1,1,"2","5","0","3.84","0","1",0,1,0,0,1,0,0,0,0,0,0,0,1
"7","13","46","30","30",4,1,1,1,1,"2","5","0","3.84","0","1",0,1,0,0,1,0,0,0,0,0,0,0,1
"4","7","22","19","40",4,1,1,1,1,"6","5","0","0.9","0","1",0,1,0,0,1,0,1,0,0,0,0,0,0
"7","10","33","33","0",4,1,1,1,1,"6","15","0","2.24","0","1",0,1,0,0,1,0,1,0,0,0,0,0,0
"7","10","41","34","40",4,1,1,1,1,"6","10","0","2.08","0","1",0,1,0,0,1,0,1,0,0,0,0,0,0
"2","2","6","6","0",1,1,1,1,1,"6","5","0","0.36","0","1",0,1,0,0,1,0,1,0,0,0,0,0,0
"2","1","6","5","0",1,1,1,1,1,"6","30","0","0.36","0","1",0,1,0,0,1,0,1,0,0,0,0,0,0
"24","106","434","394","15",4,1,1,1,1,"4","30","0","30.39","3","1",1,0,0,0,1,0,0,0,0,0,0,1,0
"30","106","415","93","7",4,1,1,1,1,"4","30","0","30.39","3","1",1,0,0,0,1,0,0,0,0,0,0,1,0
"6","13","39","18","53",4,1,1,1,1,"4","10","0","3.03","3","1",1,0,0,0,1,0,1,0,0,0,0,0,0
"6","8","35","19","40",4,1,1,1,1,"4","10","0","3.03","3","1",1,0,0,0,1,0,1,0,0,0,0,0,0
"24","106","434","394","15",4,1,1,1,1,"4","30","0","30.39","3","1",0,1,0,0,1,0,0,0,0,0,0,1,0
"30","106","415","93","45",4,1,1,1,1,"4","30","0","30.39","3","1",0,1,0,0,1,0,0,0,0,0,0,1,0
"6","12","39","18","45",4,1,1,1,1,"4","10","0","3.03","3","1",0,1,0,0,1,0,1,0,0,0,0,0,0
